variable,value
ISNIAssigned,51801
assignedConfidence,51801
duplicate-10-records-ZETO,2
duplicate-11-records-ZETO,2
duplicate-12-records-ZETO,3
duplicate-13-records-ZETO,6
duplicate-15-records-ZETO,1
duplicate-2-records-BAnQ,4
duplicate-2-records-BL,1
duplicate-2-records-BLSA,1
duplicate-2-records-BNF,215
duplicate-2-records-BNL,3
duplicate-2-records-BOEK,1
duplicate-2-records-CDR,1
duplicate-2-records-CEDA,14
duplicate-2-records-DAI,6
duplicate-2-records-ETHOS,1
duplicate-2-records-ISNI,50
duplicate-2-records-KBR,1100
duplicate-2-records-LCNACO,62
duplicate-2-records-MUBZ,17
duplicate-2-records-NLN,220
duplicate-2-records-NLS,3
duplicate-2-records-NTA,226
duplicate-2-records-OCLCT,1322
duplicate-2-records-VIAF,673
duplicate-2-records-ZETO,64
duplicate-20-records-ZETO,1
duplicate-23-records-ZETO,1
duplicate-24-records-ZETO,1
duplicate-28-records-ZETO,1
duplicate-3-records-BNF,4
duplicate-3-records-ISNI,2
duplicate-3-records-KBR,5
duplicate-3-records-MUBZ,2
duplicate-3-records-NTA,6
duplicate-3-records-OCLCT,14
duplicate-3-records-VIAF,53
duplicate-3-records-ZETO,30
duplicate-38-records-ZETO,1
duplicate-4-records-CDR,1
duplicate-4-records-CEDA,1
duplicate-4-records-ISNI,1
duplicate-4-records-NLFIN,1
duplicate-4-records-OCLCT,7
duplicate-4-records-VIAF,11
duplicate-4-records-ZETO,21
duplicate-5-records-VIAF,3
duplicate-5-records-ZETO,16
duplicate-6-records-ISNI,1
duplicate-6-records-VIAF,1
duplicate-6-records-ZETO,11
duplicate-7-records-ZETO,5
duplicate-8-records-BOWKER,1
duplicate-8-records-ZETO,2
duplicate-9-records-ZETO,4
duplicate-records-BAnQ,4
duplicate-records-BL,1
duplicate-records-BLSA,1
duplicate-records-BNF,223
duplicate-records-BNL,3
duplicate-records-BOEK,1
duplicate-records-BOWKER,7
duplicate-records-CDR,4
duplicate-records-CEDA,17
duplicate-records-DAI,6
duplicate-records-ETHOS,1
duplicate-records-ISNI,62
duplicate-records-KBR,1110
duplicate-records-LCNACO,62
