date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceKBRIdentifier,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,comment
2022-12-09,2023-02-02 22:36:11.626461,FR-NL,8501,7591,7598,7666,51,2201,0,0,4,13,1404,0,4,0,0,7453,276,2688,2201,0,0,184,204,7627,51,2192,0,7643,2504,1625,699,352,7650,display integrted publisher information
2022-12-09,2023-02-02 22:36:11.923619,NL-FR,4190,3581,3605,3677,1212,775,0,0,210,930,507,0,247,0,0,3078,776,1511,775,0,0,660,662,3586,1211,763,0,4031,1997,644,71,93,3605,display integrted publisher information
2022-12-09,2023-02-02 22:36:12.078799,OTHER,329,245,245,323,76,11,0,0,2,70,10,0,3,0,0,288,13,18,11,0,0,8,8,300,76,11,0,310,225,72,0,30,310,display integrted publisher information
